25976,1698747954006,17,-76,-1012,27,23,13,441,88,832,977,1287,1842,1700,1867
25977,1698747954009,16,-76,-1011,27,23,14,441,89,832,979,1293,1851,1671,1863
25978,1698747954029,17,-76,-1011,30,25,16,442,89,833,981,1293,1854,1665,1867
25979,1698747954096,17,-76,-1011,29,27,13,443,89,835,981,1291,1860,1656,1876
25980,1698747954098,16,-76,-1012,28,29,12,442,89,835,985,1282,1859,1694,1873
25981,1698747954111,16,-76,-1011,28,27,13,442,89,833,979,1288,1855,1718,1867
25982,1698747954113,15,-76,-1011,27,27,14,441,90,833,979,1287,1862,1695,1872
25983,1698747954126,15,-76,-1011,29,28,13,441,90,832,979,1282,1857,1720,1870
25984,1698747954165,15,-76,-1012,28,27,12,440,91,830,976,1285,1856,1742,1875
25985,1698747954194,15,-76,-1012,30,25,14,439,91,830,979,1290,1859,1728,1874
25986,1698747954196,15,-77,-1011,29,25,14,438,90,830,981,1287,1858,1758,1874
25987,1698747954224,14,-77,-1011,30,24,15,438,90,830,981,1290,1855,1738,1873
25988,1698747954238,15,-76,-1011,31,24,15,439,90,830,983,1291,1859,1681,1877
25989,1698747954284,15,-77,-1011,30,24,16,439,89,830,981,1295,1863,1667,1878
25990,1698747954285,15,-76,-1011,30,25,13,438,87,831,984,1292,1858,1689,1876
25991,1698747954286,15,-77,-1011,29,26,13,437,87,830,985,1295,1860,1691,1876
25992,1698747954307,16,-77,-1012,28,27,14,437,87,831,982,1293,1858,1704,1880
25993,1698747954344,16,-77,-1011,27,23,14,436,87,831,982,1297,1859,1715,1876
25994,1698747954358,16,-77,-1011,25,22,14,436,88,832,987,1287,1859,1705,1879
25995,1698747954375,16,-76,-1012,27,23,14,435,88,833,988,1299,1857,1708,1881
25996,1698747954403,16,-76,-1012,29,23,14,435,88,833,990,1294,1860,1702,1879
25997,1698747954419,16,-76,-1012,31,24,11,435,88,833,988,1292,1866,1691,1881
25998,1698747954434,16,-76,-1012,30,26,15,435,89,833,986,1290,1865,1659,1882
25999,1698747954478,16,-76,-1013,28,26,16,436,89,834,988,1297,1863,1604,1883
26000,1698747954480,16,-76,-1013,28,27,15,436,88,834,989,1295,1867,1599,1883
26001,1698747954501,15,-76,-1013,26,29,13,436,87,833,990,1293,1862,1610,1881
26002,1698747954546,15,-76,-1013,29,26,13,436,88,833,990,1291,1857,1612,1882
26003,1698747954548,15,-77,-1013,29,26,10,437,89,833,989,1291,1858,1617,1886
26004,1698747954549,15,-77,-1013,30,28,11,436,90,833,989,1295,1859,1616,1886
26005,1698747954576,15,-77,-1012,29,25,10,436,89,833,989,1296,1866,1611,1887
26006,1698747954614,15,-77,-1012,28,25,11,436,89,831,989,1300,1868,1616,1887
26007,1698747954630,15,-76,-1012,26,25,13,436,89,832,989,1295,1868,1616,1885
26008,1698747954631,16,-76,-1011,29,25,13,436,88,832,989,1292,1865,1611,1880
26009,1698747954658,15,-76,-1011,29,25,14,435,87,833,990,1295,1866,1612,1885
26010,1698747954681,15,-76,-1012,29,25,17,435,88,834,991,1295,1869,1611,1884
